ID,Notebook,Equity,Bond,Allocation,Inflation,Tax,WR,Success_Rate,Median_Final,Mean_Final,P5_Final,P95_Final,Failed_Simulations,Failed_Pct,Median_Depletion,Mean_Depletion,Min_Depletion,Data_From,Data_To,N_Simulations,Block_Size_Months
0408,0408_block_notax_i_hicp_m_europe_b_it_9010,MSCI Europe,BTP,90/10,HICP_EU,No Tax,4.0,61.41,472065,1794887,0,7769048,38585,38.6,22,22.2,8,2000-12-30,2025-10-31,100000,6
0409,0409_block_notax_i_hicp_m_europe_b_deit_602020,MSCI Europe,Bund+BTP,60/20/20,HICP_EU,No Tax,4.0,66.8,482433,1045166,0,3978196,33200,33.2,25,24.5,11,2000-12-30,2025-10-31,100000,6
0410,0410_block_notax_i_hicp_m_europe_b_deit_701515,MSCI Europe,Bund+BTP,70/15/15,HICP_EU,No Tax,4.0,65.16,498546,1255451,0,5003890,34842,34.8,24,23.8,10,2000-12-30,2025-10-31,100000,6
0411,0411_block_notax_i_hicp_m_europe_b_deit_801010,MSCI Europe,Bund+BTP,80/10/10,HICP_EU,No Tax,4.0,63.22,490738,1485709,0,6179467,36782,36.8,23,23.0,9,2000-12-30,2025-10-31,100000,6
0412,0412_block_notax_i_hicp_m_europe_b_deit_900505,MSCI Europe,Bund+BTP,90/5/5,HICP_EU,No Tax,4.0,61.19,453207,1736154,0,7520112,38808,38.8,22,22.3,8,2000-12-30,2025-10-31,100000,6
0500,0500_block_notax_i_hicp_m_emu_b_de_6040,MSCI EMU,Bund,60/40,HICP_EU,No Tax,4.0,60.88,294456,891975,0,3651181,39123,39.1,24,24.1,11,2000-12-30,2025-10-31,100000,6
0501,0501_block_notax_i_hicp_m_emu_b_de_7030,MSCI EMU,Bund,70/30,HICP_EU,No Tax,4.0,59.51,301911,1132049,0,4859156,40487,40.5,23,23.2,10,2000-12-30,2025-10-31,100000,6
0502,0502_block_notax_i_hicp_m_emu_b_de_8020,MSCI EMU,Bund,80/20,HICP_EU,No Tax,4.0,57.72,278820,1400590,0,6260657,42278,42.3,23,22.4,8,2000-12-30,2025-10-31,100000,6
0503,0503_block_notax_i_hicp_m_emu_b_de_9010,MSCI EMU,Bund,90/10,HICP_EU,No Tax,4.0,55.78,231278,1698954,0,7863575,44218,44.2,22,21.6,7,2000-12-30,2025-10-31,100000,6
0504,0504_block_notax_i_hicp_m_emu_b_de_1000,MSCI EMU,-,100,HICP_EU,No Tax,4.0,53.57,156499,2028953,0,9649433,46431,46.4,21,20.8,6,2000-12-30,2025-10-31,100000,6
0505,0505_block_notax_i_hicp_m_emu_b_it_6040,MSCI EMU,BTP,60/40,HICP_EU,No Tax,4.0,63.57,442670,1250384,0,5096950,36434,36.4,24,23.5,10,2000-12-30,2025-10-31,100000,6
0506,0506_block_notax_i_hicp_m_emu_b_it_7030,MSCI EMU,BTP,70/30,HICP_EU,No Tax,4.0,61.27,408498,1429125,0,6121198,38735,38.7,23,22.9,9,2000-12-30,2025-10-31,100000,6
0507,0507_block_notax_i_hicp_m_emu_b_it_8020,MSCI EMU,BTP,80/20,HICP_EU,No Tax,4.0,58.78,347077,1619083,0,7206664,41216,41.2,22,22.2,8,2000-12-30,2025-10-31,100000,6
0508,0508_block_notax_i_hicp_m_emu_b_it_9010,MSCI EMU,BTP,90/10,HICP_EU,No Tax,4.0,56.22,260847,1819311,0,8401366,43785,43.8,22,21.5,7,2000-12-30,2025-10-31,100000,6
0509,0509_block_notax_i_hicp_m_emu_b_deit_602020,MSCI EMU,Bund+BTP,60/20/20,HICP_EU,No Tax,4.0,62.52,375056,1063453,0,4328587,37478,37.5,24,23.8,10,2000-12-30,2025-10-31,100000,6
