date,Price
2004-02-02,324.510009765625
2004-02-03,323.7200012207031
2004-02-04,322.7900085449219
2004-02-05,322.3299865722656
2004-02-06,324.0799865722656
2004-02-09,328.20001220703125
2004-02-10,328.3699951171875
2004-02-11,329.1000061035156
2004-02-12,328.760009765625
2004-02-13,328.1300048828125
2004-02-16,329.1000061035156
2004-02-17,332.0400085449219
2004-02-18,332.1499938964844
2004-02-19,336.45001220703125
2004-02-20,334.4599914550781
2004-02-23,335.05999755859375
2004-02-24,331.75
2004-02-25,333.5
2004-02-26,333.9100036621094
2004-02-27,333.7699890136719
2004-03-01,337.2699890136719
2004-03-02,339.2799987792969
2004-03-03,338.3399963378906
2004-03-04,340.0799865722656
2004-03-05,338.7699890136719
2004-03-08,340.05999755859375
2004-03-09,336.5299987792969
2004-03-10,335.8800048828125
2004-03-11,326.9100036621094
2004-03-12,327.82000732421875
2004-03-15,321.6400146484375
2004-03-16,323.2200012207031
2004-03-17,328.5299987792969
2004-03-18,323.3999938964844
2004-03-19,324.8900146484375
2004-03-22,318.6600036621094
2004-03-23,319.75
2004-03-24,319.1099853515625
2004-03-25,323.2300109863281
2004-03-26,323.92999267578125
2004-03-29,327.5199890136719
2004-03-30,327.44000244140625
2004-03-31,326.7900085449219
2004-04-01,330.6099853515625
2004-04-02,336.1700134277344
2004-04-05,338.4700012207031
2004-04-06,336.8299865722656
2004-04-07,336.2900085449219
2004-04-08,337.8900146484375
2004-04-13,340.8299865722656
2004-04-14,335.6700134277344
2004-04-15,335.4200134277344
2004-04-16,337.42999267578125
2004-04-19,338.17999267578125
2004-04-20,340.5400085449219
2004-04-21,337.2200012207031
2004-04-22,339.19000244140625
2004-04-23,340.67999267578125
2004-04-26,342.0400085449219
2004-04-27,341.8800048828125
2004-04-28,337.2200012207031
2004-04-29,334.4100036621094
2004-04-30,331.4700012207031
2004-05-03,333.510009765625
2004-05-04,334.8399963378906
2004-05-05,336.3399963378906
2004-05-06,331.9599914550781
2004-05-07,332.2200012207031
2004-05-10,323.3999938964844
2004-05-11,326.9700012207031
2004-05-12,323.80999755859375
2004-05-13,327.1400146484375
2004-05-14,325.20001220703125
2004-05-17,320.45001220703125
2004-05-18,322.8999938964844
2004-05-19,328.44000244140625
2004-05-20,326.3800048828125
2004-05-21,326.1400146484375
2004-05-24,328.2900085449219
2004-05-25,326.5
2004-05-26,329.45001220703125
2004-05-27,331.1600036621094
2004-05-28,330.1499938964844
2004-05-31,330.75
2004-06-01,328.54998779296875
2004-06-02,329.92999267578125
2004-06-03,331.1600036621094
2004-06-04,333.55999755859375
2004-06-07,335.8500061035156
2004-06-08,336.7699890136719
2004-06-09,337.0
2004-06-10,337.5199890136719
2004-06-11,337.2099914550781
2004-06-14,332.3900146484375
2004-06-15,334.8900146484375
2004-06-16,338.2699890136719
2004-06-17,338.7900085449219
2004-06-18,339.1700134277344
2004-06-21,338.9200134277344
2004-06-22,335.4100036621094
2004-06-23,336.6000061035156
2004-06-24,338.010009765625
2004-06-25,338.04998779296875
2004-06-28,340.2200012207031
