"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2015","764.68","760.68","765.55","759.48","","0.78%"
"07/31/2015","758.74","758.89","760.33","753.59","","0.03%"
"07/30/2015","758.49","757.76","759.51","754.00","","0.57%"
"07/29/2015","754.21","748.97","754.68","747.04","","1.02%"
"07/28/2015","746.58","741.83","748.70","740.84","","1.07%"
"07/27/2015","738.71","752.41","752.44","738.38","","-2.21%"
"07/24/2015","755.39","761.45","766.05","754.64","","-0.87%"
"07/23/2015","762.00","768.55","770.53","760.47","","-0.54%"
"07/22/2015","766.10","768.02","768.94","764.73","","-0.59%"
"07/21/2015","770.66","780.00","780.77","769.10","","-1.02%"
"07/20/2015","778.58","776.86","782.27","776.86","","0.28%"
"07/17/2015","776.43","778.22","778.57","775.01","","0.06%"
"07/16/2015","775.95","768.41","778.52","768.41","","1.36%"
"07/15/2015","765.57","763.30","766.17","761.11","","0.44%"
"07/14/2015","762.25","758.21","762.25","755.56","","0.46%"
"07/13/2015","758.73","748.83","759.01","748.83","","1.97%"
"07/10/2015","744.08","735.60","744.91","735.60","","2.03%"
"07/09/2015","729.26","715.49","730.93","715.47","","2.20%"
"07/08/2015","713.58","712.59","717.68","710.61","","0.04%"
"07/07/2015","713.31","726.28","727.46","713.31","","-1.57%"
"07/06/2015","724.66","728.67","729.74","722.08","","-1.23%"
"07/03/2015","733.71","737.85","738.15","731.18","","-0.52%"
"07/02/2015","737.56","741.40","743.02","737.48","","-0.40%"
"07/01/2015","740.52","732.24","745.80","732.24","","1.52%"
"06/30/2015","729.46","737.41","738.64","728.54","","-1.26%"
"06/29/2015","738.76","747.58","748.43","734.63","","-2.69%"
"06/26/2015","759.18","755.99","761.76","752.06","","0.11%"
"06/25/2015","758.31","757.00","764.03","754.33","","-0.22%"
"06/24/2015","760.01","763.74","765.37","757.27","","-0.38%"
"06/23/2015","762.89","759.78","766.83","759.78","","1.16%"
"06/22/2015","754.14","742.68","754.44","742.68","","2.26%"
"06/19/2015","737.49","736.26","743.74","736.06","","0.36%"
"06/18/2015","734.85","732.00","734.85","723.10","","0.14%"
"06/17/2015","733.85","737.26","739.66","731.59","","-0.45%"
"06/16/2015","737.16","730.07","738.79","724.77","","0.65%"
"06/15/2015","732.43","741.38","741.38","732.12","","-1.63%"
"06/12/2015","744.59","751.05","753.34","740.43","","-0.92%"
"06/11/2015","751.50","744.93","756.37","744.41","","0.61%"
"06/10/2015","746.97","732.47","748.27","729.80","","1.81%"
"06/09/2015","733.70","735.57","736.54","726.49","","-0.39%"
"06/08/2015","736.60","743.40","744.82","736.60","","-0.91%"
"06/05/2015","743.35","748.37","748.37","739.57","","-0.93%"
"06/04/2015","750.32","755.18","756.20","742.48","","-0.80%"
"06/03/2015","756.38","757.88","764.22","756.07","","-0.13%"
"06/02/2015","757.35","765.79","766.13","755.61","","-1.02%"
"06/01/2015","765.15","766.11","770.62","762.77","","0.19%"
"05/29/2015","763.73","776.70","777.54","763.31","","-1.71%"
"05/28/2015","777.02","778.78","779.69","773.54","","-0.46%"
"05/27/2015","780.60","771.66","781.73","771.30","","1.31%"
"05/26/2015","770.51","778.19","780.55","768.78","","-0.71%"
"05/25/2015","776.05","778.95","778.95","776.00","","-0.29%"
"05/22/2015","778.28","778.23","780.44","775.40","","0.00%"
"05/21/2015","778.26","774.08","778.65","772.09","","0.40%"
"05/20/2015","775.17","773.05","776.13","769.79","","0.42%"
"05/19/2015","771.90","762.63","772.13","762.63","","1.69%"
"05/18/2015","759.10","755.33","760.57","750.88","","0.47%"
"05/15/2015","755.52","759.55","764.01","753.20","","-0.38%"
"05/14/2015","758.43","751.26","759.56","747.12","","0.70%"
"05/13/2015","753.17","755.62","762.31","751.10","","-0.14%"
"05/12/2015","754.19","761.33","761.33","748.48","","-1.28%"
"05/11/2015","763.99","761.35","765.24","760.32","","0.38%"
"05/08/2015","761.13","748.82","761.18","748.82","","2.90%"
"05/07/2015","739.66","736.51","741.14","726.10","","0.15%"
"05/06/2015","738.52","741.87","745.38","735.63","","-0.58%"
"05/05/2015","742.83","755.55","762.07","742.83","","-1.43%"
"05/04/2015","753.60","750.03","755.81","748.01","","0.61%"
"05/01/2015","749.06","750.19","750.80","747.94","","-0.28%"
"04/30/2015","751.19","754.13","755.36","746.78","","-0.32%"
"04/29/2015","753.62","772.16","774.37","753.49","","-2.20%"
"04/28/2015","770.59","781.17","781.17","766.00","","-1.48%"
"04/27/2015","782.17","775.06","782.64","769.16","","0.99%"
"04/24/2015","774.50","772.28","777.41","771.66","","0.34%"
"04/23/2015","771.91","775.80","778.62","768.00","","-0.37%"
"04/22/2015","774.79","776.01","779.35","769.00","","-0.03%"
"04/21/2015","774.99","773.38","780.66","772.53","","0.57%"
"04/20/2015","770.61","764.97","771.01","764.97","","0.85%"
"04/17/2015","764.13","776.41","777.84","763.05","","-1.74%"
"04/16/2015","777.65","783.88","783.94","776.69","","-0.73%"
"04/15/2015","783.33","779.94","785.46","779.72","","0.59%"
"04/14/2015","778.77","782.71","784.39","776.26","","-0.44%"
"04/13/2015","782.24","780.36","783.41","778.64","","0.17%"
"04/10/2015","780.91","775.13","781.10","775.13","","0.94%"
"04/09/2015","773.66","766.61","773.66","766.61","","1.13%"
"04/08/2015","765.02","764.48","767.13","763.84","","0.09%"
"04/07/2015","764.35","754.15","765.26","754.15","","1.68%"
"04/02/2015","751.74","752.45","753.63","750.68","","-0.14%"
"04/01/2015","752.79","748.74","757.25","746.43","","0.31%"
"03/31/2015","750.44","755.66","758.85","747.99","","-0.63%"
"03/30/2015","755.22","747.97","755.84","747.97","","1.10%"
"03/27/2015","747.03","748.05","751.25","745.22","","0.27%"
"03/26/2015","745.02","748.00","748.00","737.67","","-0.82%"
"03/25/2015","751.21","758.15","758.88","750.45","","-1.13%"
"03/24/2015","759.76","755.82","761.69","753.60","","0.32%"
"03/23/2015","757.36","761.22","761.22","755.16","","-0.67%"
"03/20/2015","762.46","755.95","763.41","755.60","","0.82%"
"03/19/2015","756.23","752.81","758.61","751.85","","0.59%"
"03/18/2015","751.76","749.85","752.52","746.22","","0.33%"
"03/17/2015","749.26","754.53","756.08","746.24","","-0.71%"
"03/16/2015","754.63","749.10","755.69","749.10","","0.90%"
"03/13/2015","747.88","746.34","747.88","742.94","","0.32%"
"03/12/2015","745.52","745.91","748.50","745.26","","0.00%"
"03/11/2015","745.49","736.23","746.00","736.23","","1.49%"
"03/10/2015","734.51","741.38","742.97","734.07","","-0.89%"
"03/09/2015","741.09","741.35","741.89","736.42","","-0.25%"
"03/06/2015","742.97","741.93","747.21","741.69","","0.11%"
"03/05/2015","742.19","736.04","743.18","736.04","","0.92%"
